practical_third,condition,signatory_id,AgtId,agt_dat,signatory_type,id_paax,actor_name,abbreviation,type,actor_type,un_type,country_based,iso3c,gwno,region_pax,region_geo,description,actor_id,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,short_agt_name,PP,PPName,Con,agt_type,stage_label,date,year,agt_description,PAX_Hyperlink,PDF_Hyperlink,PA-X Page html,Agreement PDF html,Loc1ISO,Loc2ISO,UcdpCon,global_actor
1,C1,98,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,IGO_49,United Nations (General),UN,IGO,Intergovernmental Organization,United Nations,,,,,,United Nations (General) (UN) is a Intergovernmental Organization actor (international). ,49,,,,UN: United Nations,,"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,95,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,CON_21,Russia,RUS,CON,Country/State,P5,Russia,RUS,365,Europe and Eurasia,Europe,Russia (RUS) is a Country/State actor (Russia). ,21,57,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,96,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,CON_7,France,FRN,CON,Country/State,P5,France,FRA,220,Europe and Eurasia,Europe,France (FRN) is a Country/State actor (France). ,7,33,Government of France,https://ucdp.uu.se/actor/33,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,97,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,CON_2,Germany,GMY,CON,Country/State,,Germany,DEU,260,Europe and Eurasia,Europe,Germany (GMY) is a Country/State actor (Germany). ,2,37,Government of Germany,https://ucdp.uu.se/actor/37,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-),"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,99,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,IGO_50,Organization for Security and Cooperation in Europe,OSCE,IGO,Intergovernmental Organization,,,,,,,Organization for Security and Cooperation in Europe (OSCE) is a Intergovernmental Organization actor (international). ,50,,,,,,"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,100,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,CON_19,United Kingdom,UKG,CON,Country/State,P5,United Kingdom,GBR,200,Europe and Eurasia,Europe,United Kingdom (UKG) is a Country/State actor (United Kingdom). ,19,28,Government of United Kingdom,https://ucdp.uu.se/actor/28,Government of the United Kingdom (2010-),Government of the United Kingdom (2010-),"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,101,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,COA_51,Group of Friends UNSG,,COA,State Coalition,,,,,,,Group of Friends UNSG  is a State Coalition actor (international). ,51,,,,,,"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,102,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties (22/01/1998),third party,CON_3,United States,USA,CON,Country/State,P5,United States of America,USA,2,Americas,Americas,United States (USA) is a Country/State actor (United States of America). ,3,3,Government of United States of America,https://ucdp.uu.se/actor/3,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),"Pre-negotiation, 22 January 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-01-22,1998,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",https://pax.peaceagreements.org/agreements/17/,https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf,"<a href=""https://pax.peaceagreements.org/agreements/17/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag17_5714c619f1c82.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,123,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides (22/05/1998),third party,CON_3,United States,USA,CON,Country/State,P5,United States of America,USA,2,Americas,Americas,United States (USA) is a Country/State actor (United States of America). ,3,3,Government of United States of America,https://ucdp.uu.se/actor/3,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),"Pre-negotiation, 22 May 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-05-22,1998,Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,https://pax.peaceagreements.org/agreements/19/,https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf,"<a href=""https://pax.peaceagreements.org/agreements/19/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,122,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides (22/05/1998),third party,COA_51,Group of Friends UNSG,,COA,State Coalition,,,,,,,Group of Friends UNSG  is a State Coalition actor (international). ,51,,,,,,"Pre-negotiation, 22 May 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-05-22,1998,Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,https://pax.peaceagreements.org/agreements/19/,https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf,"<a href=""https://pax.peaceagreements.org/agreements/19/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,121,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides (22/05/1998),third party,CON_19,United Kingdom,UKG,CON,Country/State,P5,United Kingdom,GBR,200,Europe and Eurasia,Europe,United Kingdom (UKG) is a Country/State actor (United Kingdom). ,19,28,Government of United Kingdom,https://ucdp.uu.se/actor/28,Government of the United Kingdom (2010-),Government of the United Kingdom (2010-),"Pre-negotiation, 22 May 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-05-22,1998,Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,https://pax.peaceagreements.org/agreements/19/,https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf,"<a href=""https://pax.peaceagreements.org/agreements/19/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,118,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides (22/05/1998),third party,CON_7,France,FRN,CON,Country/State,P5,France,FRA,220,Europe and Eurasia,Europe,France (FRN) is a Country/State actor (France). ,7,33,Government of France,https://ucdp.uu.se/actor/33,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,"Pre-negotiation, 22 May 1998",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1998-05-22,1998,Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,https://pax.peaceagreements.org/agreements/19/,https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf,"<a href=""https://pax.peaceagreements.org/agreements/19/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag19_5718ad3a11247.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
